groupname,genre
SuperM,POP
MYname,DANCE
MYname,POP
Miss_A,POP
EVERGLOW,POP
CIX,POP
MyB,POP
Fx,ELECTROPOP
Fx,POP
Fx,SYNTHPOP
BLANC7,POP
ONF,POP
CAMILA,POP
BLACKPINK,POP
Bling,DANCE
Bling,POP
SATURDAY,POP
LPG,POP
ASTRO,POP
Underdog,HIPHOP
Underdog,POP
Seven_O_27clock,POP
TST,POP
IZ,POPROCK
OAHSIS,POP
BEBE6,POP
RaNia,EDM
RaNia,POP
Lusty,POP
S.I.S,KPOP
BIGBANG,HIPHOP
BIGBANG,POP
BIGBANG,R&B
GLAM,POP
GOT7,HIPHOP
GOT7,POP
DESTINY,POP
BaBa,KPOP
Red_Velvet,BALLAD
Red_Velvet,FUNK
Red_Velvet,JAZZ
Red_Velvet,POP
Red_Velvet,R&B
PARADISE,BALLAD
PARADISE,POP
PARADISE,POPERA
1PS,POP
MATILDA,BALLAD
MATILDA,POP
GIRLS_GIRLS,POP