 genre,Value
" ""Electropop"" "," ""2"" "
" ""C-pop"" "," ""1"" "
" ""Pop rock"" "," ""9"" "
" ""Bubblegum pop"" "," ""1"" "
" ""Dance"" "," ""17"" "
" ""Metal"" "," ""1"" "
" ""EDM"" "," ""4"" "
" ""Dance-pop"" "," ""16"" "
" ""Pop"" "," ""208"" "
" ""Jazz"" "," ""2"" "
" ""Soul"" "," ""1"" "
" ""Synth-pop"" "," ""2"" "
" ""J-pop"" "," ""16"" "
" ""Funk"" "," ""1"" "
" ""K-pop"" "," ""45"" "
" ""Ballad"" "," ""17"" "
" ""Electronic"" "," ""3"" "
" ""Hip-hop"" "," ""30"" "
" ""Rap"" "," ""3"" "
" ""Teen pop"" "," ""1"" "
" ""Nu-disco"" "," ""1"" "
" ""Retro"" "," ""1"" "
" ""R&B"" "," ""16"" "
" ""Popera"" "," ""1"" "
" ""K-Pop"" "," ""1"" "
" ""Rock"" "," ""3"" "